File ID,digit_label,participant,intonation
0000000.wav,4,S73,1
0000001.wav,2,S88,2
0000002.wav,25,S5,3
0000003.wav,2,S85,4
0000004.wav,4,S30,2
0000005.wav,10,S55,1
0000006.wav,2,S136,3
0000007.wav,23,S171,4
0000008.wav,21,S41,4
0000009.wav,1,S29,2
0000010.wav,3,S152,2
0000011.wav,18,S89,4
0000012.wav,6,S54,1
0000013.wav,9,S89,4
0000014.wav,25,S7,3
0000015.wav,27,S102,3
0000016.wav,9,S30,4
0000017.wav,2,S158,4
0000018.wav,26,S95,3
0000019.wav,23,S119,4
0000020.wav,31,S32,1
0000021.wav,27,S31,3
0000022.wav,25,S154,2
0000023.wav,5,S42,1
0000024.wav,31,S1,4
0000025.wav,4,S41,3
0000026.wav,29,S155,4
0000027.wav,7,S30,2
0000028.wav,9,S35,1
0000029.wav,29,S64,2
0000030.wav,1,S81,1
0000031.wav,9,S125,2
0000032.wav,9,S87,4
0000033.wav,1,S130,1
0000034.wav,9,S25,2
0000035.wav,20,S155,1
0000036.wav,25,S92,1
0000037.wav,25,S178,1
0000038.wav,22,S141,4
0000039.wav,5,S11,1
0000040.wav,4,S81,3
0000041.wav,11,S73,4
0000042.wav,5,S54,3
0000043.wav,30,S6,4
0000044.wav,15,S136,3
0000045.wav,10,S128,2
0000046.wav,6,S41,3
0000047.wav,3,S147,2
0000048.wav,9,S181,4
0000049.wav,16,S154,1
0000050.wav,14,S67,1
0000051.wav,16,S133,1
0000052.wav,29,S53,4
0000053.wav,12,S34,3
0000054.wav,13,S145,1
0000055.wav,7,S22,2
0000056.wav,27,S83,4
0000057.wav,3,S171,4
0000058.wav,12,S83,1
0000059.wav,18,S155,2
0000060.wav,26,S68,1
0000061.wav,11,S12,2
0000062.wav,24,S31,1
0000063.wav,27,S80,3
0000064.wav,11,S41,2
0000065.wav,5,S178,1
0000066.wav,16,S119,2
0000067.wav,0,S38,4
0000068.wav,15,S144,1
0000069.wav,21,S146,3
0000070.wav,26,S181,2
0000071.wav,6,S8,2
0000072.wav,4,S154,4
0000073.wav,23,S102,2
0000074.wav,12,S40,2
0000075.wav,17,S158,1
0000076.wav,9,S143,1
0000077.wav,24,S179,3
0000078.wav,9,S49,3
0000079.wav,15,S47,4
0000080.wav,15,S54,3
0000081.wav,0,S63,4
0000082.wav,15,S7,2
0000083.wav,12,S8,1
0000084.wav,14,S153,4
0000085.wav,20,S2,2
0000086.wav,9,S99,2
0000087.wav,0,S59,1
0000088.wav,17,S26,1
0000089.wav,15,S5,3
0000090.wav,17,S140,2
0000091.wav,7,S114,3
0000092.wav,24,S171,1
0000093.wav,23,S6,3
0000094.wav,13,S161,3
0000095.wav,16,S10,3
0000096.wav,3,S78,2
0000097.wav,13,S50,3
0000098.wav,9,S89,1
0000099.wav,31,S152,1
0000100.wav,18,S22,4
0000101.wav,19,S68,2
0000102.wav,1,S75,3
0000103.wav,28,S151,3
0000104.wav,30,S61,1
0000105.wav,20,S73,2
0000106.wav,15,S158,2
0000107.wav,7,S119,1
0000108.wav,1,S164,3
0000109.wav,19,S165,1
0000110.wav,24,S136,3
0000111.wav,13,S107,2
0000112.wav,19,S54,1
0000113.wav,6,S106,4
0000114.wav,15,S136,1
0000115.wav,27,S140,1
0000116.wav,30,S19,1
0000117.wav,6,S89,2
0000118.wav,3,S92,4
0000119.wav,9,S179,3
0000120.wav,11,S168,4
0000121.wav,9,S62,3
0000122.wav,27,S129,3
0000123.wav,17,S142,1
0000124.wav,17,S71,3
0000125.wav,4,S124,4
0000126.wav,7,S157,3
0000127.wav,13,S121,1
0000128.wav,19,S5,1
0000129.wav,30,S30,3
0000130.wav,6,S43,2
0000131.wav,8,S145,1
0000132.wav,2,S41,2
0000133.wav,20,S179,1
0000134.wav,8,S81,4
0000135.wav,15,S47,3
0000136.wav,2,S86,1
0000137.wav,31,S76,2
0000138.wav,11,S156,1
0000139.wav,31,S119,3
0000140.wav,24,S66,3
0000141.wav,23,S42,4
0000142.wav,20,S161,4
0000143.wav,21,S48,3
0000144.wav,3,S22,4
0000145.wav,31,S16,2
0000146.wav,24,S58,2
0000147.wav,4,S122,3
0000148.wav,21,S157,2
0000149.wav,30,S100,1
0000150.wav,16,S39,3
0000151.wav,1,S62,4
0000152.wav,1,S97,4
0000153.wav,0,S53,1
0000154.wav,1,S17,4
0000155.wav,3,S111,2
0000156.wav,30,S38,1
0000157.wav,5,S167,2
0000158.wav,5,S23,1
0000159.wav,10,S116,4
0000160.wav,19,S178,1
0000161.wav,21,S165,4
0000162.wav,16,S93,3
0000163.wav,5,S88,4
0000164.wav,1,S143,1
0000165.wav,21,S139,1
0000166.wav,1,S37,1
0000167.wav,28,S140,3
0000168.wav,18,S183,2
0000169.wav,22,S143,4
0000170.wav,16,S106,1
0000171.wav,12,S100,2
0000172.wav,24,S3,3
0000173.wav,24,S38,1
0000174.wav,27,S97,3
0000175.wav,24,S113,2
0000176.wav,10,S10,1
0000177.wav,10,S28,1
0000178.wav,0,S18,4
0000179.wav,18,S101,4
0000180.wav,30,S111,1
0000181.wav,16,S52,3
0000182.wav,22,S140,2
0000183.wav,2,S53,3
0000184.wav,20,S48,1
0000185.wav,18,S27,4
0000186.wav,27,S79,3
0000187.wav,0,S151,4
0000188.wav,2,S41,3
0000189.wav,19,S2,1
0000190.wav,13,S9,3
0000191.wav,24,S153,2
0000192.wav,28,S29,2
0000193.wav,8,S81,2
0000194.wav,22,S32,2
0000195.wav,23,S52,2
0000196.wav,2,S36,4
0000197.wav,4,S153,1
0000198.wav,13,S39,1
0000199.wav,2,S176,2
0000200.wav,13,S62,4
0000201.wav,12,S151,2
0000202.wav,4,S164,1
0000203.wav,19,S155,1
0000204.wav,9,S141,4
0000205.wav,13,S155,3
0000206.wav,3,S150,3
0000207.wav,11,S121,2
0000208.wav,28,S16,1
0000209.wav,6,S143,2
0000210.wav,31,S60,1
0000211.wav,31,S123,4
0000212.wav,2,S105,4
0000213.wav,18,S168,4
0000214.wav,14,S106,2
0000215.wav,27,S23,1
0000216.wav,5,S163,2
0000217.wav,0,S142,4
0000218.wav,1,S141,4
0000219.wav,20,S104,4
0000220.wav,25,S32,4
0000221.wav,5,S160,3
0000222.wav,12,S161,1
0000223.wav,20,S43,1
0000224.wav,26,S103,3
0000225.wav,7,S97,3
0000226.wav,15,S29,1
0000227.wav,15,S23,2
0000228.wav,4,S126,4
0000229.wav,10,S61,1
0000230.wav,21,S108,4
0000231.wav,8,S15,3
0000232.wav,8,S170,3
0000233.wav,31,S37,1
0000234.wav,22,S147,2
0000235.wav,30,S40,4
0000236.wav,10,S59,2
0000237.wav,15,S25,1
0000238.wav,19,S108,4
0000239.wav,8,S50,1
0000240.wav,6,S136,1
0000241.wav,6,S55,2
0000242.wav,0,S110,1
0000243.wav,1,S19,4
0000244.wav,28,S168,3
0000245.wav,23,S21,2
0000246.wav,20,S93,1
0000247.wav,20,S144,1
0000248.wav,4,S11,1
0000249.wav,15,S72,2
0000250.wav,31,S149,3
0000251.wav,25,S92,4
0000252.wav,22,S164,2
0000253.wav,22,S22,1
0000254.wav,14,S33,3
0000255.wav,13,S111,1
0000256.wav,17,S47,4
0000257.wav,21,S181,4
0000258.wav,18,S153,2
0000259.wav,10,S171,4
0000260.wav,14,S56,2
0000261.wav,25,S19,1
0000262.wav,14,S82,2
0000263.wav,13,S73,4
0000264.wav,12,S182,2
0000265.wav,28,S39,1
0000266.wav,21,S87,3
0000267.wav,17,S168,3
0000268.wav,4,S84,2
0000269.wav,6,S68,3
0000270.wav,10,S180,3
0000271.wav,15,S59,2
0000272.wav,22,S116,2
0000273.wav,23,S74,3
0000274.wav,13,S96,3
0000275.wav,26,S22,2
0000276.wav,17,S12,4
0000277.wav,3,S180,3
0000278.wav,19,S42,1
0000279.wav,3,S165,2
0000280.wav,1,S136,2
0000281.wav,8,S27,2
0000282.wav,27,S141,3
0000283.wav,2,S129,3
0000284.wav,10,S74,2
0000285.wav,17,S78,3
0000286.wav,5,S39,3
0000287.wav,29,S179,1
0000288.wav,23,S160,2
0000289.wav,9,S13,1
0000290.wav,31,S56,2
0000291.wav,22,S115,2
0000292.wav,23,S48,1
0000293.wav,29,S164,2
0000294.wav,12,S178,1
0000295.wav,3,S20,4
0000296.wav,11,S184,2
0000297.wav,11,S18,1
0000298.wav,23,S127,2
0000299.wav,10,S17,2
0000300.wav,5,S59,4
0000301.wav,6,S140,4
0000302.wav,5,S30,3
0000303.wav,25,S112,3
0000304.wav,11,S27,4
0000305.wav,13,S29,1
0000306.wav,21,S2,1
0000307.wav,15,S112,2
0000308.wav,27,S25,3
0000309.wav,0,S115,4
0000310.wav,11,S13,3
0000311.wav,3,S120,2
0000312.wav,6,S182,2
0000313.wav,28,S129,4
0000314.wav,8,S99,3
0000315.wav,22,S172,3
0000316.wav,3,S53,2
0000317.wav,15,S87,1
0000318.wav,18,S67,2
0000319.wav,20,S82,4
0000320.wav,19,S69,1
0000321.wav,3,S39,2
0000322.wav,29,S156,4
0000323.wav,10,S133,4
0000324.wav,6,S83,2
0000325.wav,3,S9,4
0000326.wav,30,S147,3
0000327.wav,1,S72,4
0000328.wav,10,S37,2
0000329.wav,23,S159,1
0000330.wav,12,S17,3
0000331.wav,21,S9,2
0000332.wav,4,S24,2
0000333.wav,25,S120,3
0000334.wav,1,S78,2
0000335.wav,23,S79,3
0000336.wav,12,S104,4
0000337.wav,6,S85,3
0000338.wav,13,S85,3
0000339.wav,6,S59,3
0000340.wav,30,S59,4
0000341.wav,19,S29,3
0000342.wav,11,S51,1
0000343.wav,10,S175,3
0000344.wav,12,S16,1
0000345.wav,8,S86,1
0000346.wav,19,S31,3
0000347.wav,10,S184,2
0000348.wav,4,S41,2
0000349.wav,19,S116,1
